"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","四郎丸","南仙台","30分～60分",21000000,165,"ほぼ正方形",12.5,105,"2012年","木造","住宅","","南西","市道",6,"１低住専",50,80,"2011年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","四郎丸","南仙台","30分～60分",13000000,150,"長方形",9,95,"1979年","木造","住宅","","南東","市道",6.3,"１低住専","","","2011年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","四郎丸","南仙台","30分～60分",19000000,165,"ほぼ長方形",11,110,"2011年","木造","住宅","","西","市道",4,"１低住専",50,80,"2011年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","四郎丸","南仙台","30分～60分",17000000,145,"長方形",10,100,"2011年","木造","住宅","","南","市道",6,"１低住専",50,80,"2011年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","四郎丸","南仙台","30分～60分",19000000,145,"ほぼ長方形",13.5,110,"2011年","木造","住宅","","東","市道",12,"１低住専",50,80,"2011年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","四郎丸","南仙台","30分～60分",18000000,190,"袋地等",3.5,110,"2011年","木造","住宅","","北東","私道",4,"１低住専",50,80,"2011年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","四郎丸","南仙台","30分～60分",13000000,230,"ほぼ長方形",12,110,"1974年","木造","住宅","","西","市道",6,"１低住専",50,80,"2011年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","土手内","長町南",23,40000000,165,"ほぼ長方形",12.5,"","2012年","","住宅","","北東","市道",6,"１低住専",50,80,"2011年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","土手内","長町南",20,15000000,330,"台形",23,135,"1988年","木造","住宅","","北東","市道",4,"１低住専",50,80,"2011年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","富沢南","富沢",7,43000000,260,"ほぼ台形",13,140,"1999年","軽量鉄骨造","住宅","","北東","市道",12,"２中住専",60,200,"2011年第4四半期",""
